Data;DventoSI;DventoSG;Precipitacao;velocidadedovento;Njus;Nsv;Nsi;Nmon
08/12/2021;76,25;80,18;0;1,9;0,5066;1,49;0,7456;0,6156
09/12/2021;207,79;204,2;0;2,633333;0,5355;1,38;0,7876;0,6813
10/12/2021;159,43;133,6;0;1,5;0,4593;1,35;0,8028;0,7275
11/12/2021;97,68;117,63;0;2,8;0,4872;1,3;0,8047;0,686
12/12/2021;50,44;146,33;0;2,666667;0,5629;1,37;0,6926;0,789
13/12/2021;178,54;168,3;0;1,366667;0,559;1,31;0,696;0,7603
14/12/2021;183,22;188,16;14,6;3,9;0,6177;1,29;0,7451;0,5379
15/12/2021;154,51;158,58;6,7;2,2;0,5419;1,29;0,7492;0,7663
16/12/2021;127,59;122,72;8,5;2,833333;0,6941;1,03;0,9383;0,8554
17/12/2021;144,34;123,84;0;4,2;0,457;1,15;0,8142;0,6332
18/12/2021;217,79;196,75;1,6;5,833333;0,4439;1,3;0,6377;0,6902
19/12/2021;225,25;207,66;0;3,1;0,5813;1,46;0,4218;0,6994
20/12/2021;213,95;194,49;0;1,733333;0,5375;1,2;0,6829;0,7632
21/12/2021;186,75;173,01;0,2;1,333333;0,6534;1,16;0,7117;0,8795
22/12/2021;135,34;144,86;0;2,966667;0,9127;1,1;0,749;0,7507
